current_round,start_aggregation,end_aggregation,participant count,actual partipants
1,1749932157.5938416,1749932208.6135867,3,"['1749f6ba-afa0-442f-b098-303f0e0b83ac', '301938d3-d8c7-446d-98b5-8ba418a72d31', 'd820f85f-1c1a-4b41-873c-0d93e58c1ebf']"
2,1749932211.870649,1749932214.6866965,3,"['1749f6ba-afa0-442f-b098-303f0e0b83ac', '301938d3-d8c7-446d-98b5-8ba418a72d31', 'd820f85f-1c1a-4b41-873c-0d93e58c1ebf']"
3,1749932217.827426,1749932220.7637353,3,"['1749f6ba-afa0-442f-b098-303f0e0b83ac', '301938d3-d8c7-446d-98b5-8ba418a72d31', 'd820f85f-1c1a-4b41-873c-0d93e58c1ebf']"
4,1749932223.4839573,1749932226.6912377,3,"['1749f6ba-afa0-442f-b098-303f0e0b83ac', '301938d3-d8c7-446d-98b5-8ba418a72d31', 'd820f85f-1c1a-4b41-873c-0d93e58c1ebf']"
5,1749932229.3973386,1749932232.556928,3,"['1749f6ba-afa0-442f-b098-303f0e0b83ac', '301938d3-d8c7-446d-98b5-8ba418a72d31', 'd820f85f-1c1a-4b41-873c-0d93e58c1ebf']"
6,1749932235.2935703,1749932238.1393807,3,"['1749f6ba-afa0-442f-b098-303f0e0b83ac', '301938d3-d8c7-446d-98b5-8ba418a72d31', 'd820f85f-1c1a-4b41-873c-0d93e58c1ebf']"
7,1749932240.977576,1749932244.3016787,3,"['1749f6ba-afa0-442f-b098-303f0e0b83ac', '301938d3-d8c7-446d-98b5-8ba418a72d31', 'd820f85f-1c1a-4b41-873c-0d93e58c1ebf']"
8,1749932247.1274974,1749932249.9557767,3,"['1749f6ba-afa0-442f-b098-303f0e0b83ac', '301938d3-d8c7-446d-98b5-8ba418a72d31', 'd820f85f-1c1a-4b41-873c-0d93e58c1ebf']"
9,1749932252.658204,1749932255.944395,3,"['1749f6ba-afa0-442f-b098-303f0e0b83ac', '301938d3-d8c7-446d-98b5-8ba418a72d31', 'd820f85f-1c1a-4b41-873c-0d93e58c1ebf']"
10,1749932258.7573106,1749932261.5182807,3,"['1749f6ba-afa0-442f-b098-303f0e0b83ac', '301938d3-d8c7-446d-98b5-8ba418a72d31', 'd820f85f-1c1a-4b41-873c-0d93e58c1ebf']"
11,1749932264.2458713,1749932267.5465872,3,"['1749f6ba-afa0-442f-b098-303f0e0b83ac', '301938d3-d8c7-446d-98b5-8ba418a72d31', 'd820f85f-1c1a-4b41-873c-0d93e58c1ebf']"
12,1749932270.2280312,1749932273.311421,3,"['1749f6ba-afa0-442f-b098-303f0e0b83ac', '301938d3-d8c7-446d-98b5-8ba418a72d31', 'd820f85f-1c1a-4b41-873c-0d93e58c1ebf']"
13,1749932275.915079,1749932278.931822,3,"['1749f6ba-afa0-442f-b098-303f0e0b83ac', '301938d3-d8c7-446d-98b5-8ba418a72d31', 'd820f85f-1c1a-4b41-873c-0d93e58c1ebf']"
14,1749932281.5632672,1749932284.8056984,3,"['1749f6ba-afa0-442f-b098-303f0e0b83ac', '301938d3-d8c7-446d-98b5-8ba418a72d31', 'd820f85f-1c1a-4b41-873c-0d93e58c1ebf']"
15,1749932287.4207387,1749932290.4209912,3,"['1749f6ba-afa0-442f-b098-303f0e0b83ac', '301938d3-d8c7-446d-98b5-8ba418a72d31', 'd820f85f-1c1a-4b41-873c-0d93e58c1ebf']"
16,1749932292.874377,1749932296.585964,3,"['1749f6ba-afa0-442f-b098-303f0e0b83ac', '301938d3-d8c7-446d-98b5-8ba418a72d31', 'd820f85f-1c1a-4b41-873c-0d93e58c1ebf']"
17,1749932299.1885161,1749932302.5967557,3,"['1749f6ba-afa0-442f-b098-303f0e0b83ac', '301938d3-d8c7-446d-98b5-8ba418a72d31', 'd820f85f-1c1a-4b41-873c-0d93e58c1ebf']"
18,1749932305.2371235,1749932308.1916223,3,"['1749f6ba-afa0-442f-b098-303f0e0b83ac', '301938d3-d8c7-446d-98b5-8ba418a72d31', 'd820f85f-1c1a-4b41-873c-0d93e58c1ebf']"
19,1749932310.7961102,1749932315.1566162,3,"['1749f6ba-afa0-442f-b098-303f0e0b83ac', '301938d3-d8c7-446d-98b5-8ba418a72d31', 'd820f85f-1c1a-4b41-873c-0d93e58c1ebf']"
20,1749932317.7560873,1749932321.0949488,3,"['1749f6ba-afa0-442f-b098-303f0e0b83ac', '301938d3-d8c7-446d-98b5-8ba418a72d31', 'd820f85f-1c1a-4b41-873c-0d93e58c1ebf']"
21,1749932323.6378973,1749932326.774496,3,"['1749f6ba-afa0-442f-b098-303f0e0b83ac', '301938d3-d8c7-446d-98b5-8ba418a72d31', 'd820f85f-1c1a-4b41-873c-0d93e58c1ebf']"
22,1749932329.6196208,1749932332.414354,3,"['1749f6ba-afa0-442f-b098-303f0e0b83ac', '301938d3-d8c7-446d-98b5-8ba418a72d31', 'd820f85f-1c1a-4b41-873c-0d93e58c1ebf']"
23,1749932335.1179903,1749932338.2239652,3,"['1749f6ba-afa0-442f-b098-303f0e0b83ac', '301938d3-d8c7-446d-98b5-8ba418a72d31', 'd820f85f-1c1a-4b41-873c-0d93e58c1ebf']"
24,1749932340.8585494,1749932344.1040566,3,"['1749f6ba-afa0-442f-b098-303f0e0b83ac', '301938d3-d8c7-446d-98b5-8ba418a72d31', 'd820f85f-1c1a-4b41-873c-0d93e58c1ebf']"
25,1749932346.9160893,1749932349.8723576,3,"['1749f6ba-afa0-442f-b098-303f0e0b83ac', '301938d3-d8c7-446d-98b5-8ba418a72d31', 'd820f85f-1c1a-4b41-873c-0d93e58c1ebf']"
25,1749932352.3682253,1749932352.3684444
1,1750108910.4197168,1750108959.918015,3,"['2fce5997-fbf2-44ca-98c1-94400af1a115', '4eec1cb4-c7df-49d4-aa4b-396e6c1ce875', '86264496-af6d-459f-b4e5-16f714463395']"
1,1750109153.3905377,1750109203.2790148,3,"['37b96c7d-1521-40e5-8f00-70ce11567dd2', 'a83a8577-1284-453c-938f-2c3fc9f177b7', 'd1730674-e1f6-4cae-aa09-ea1f396a8148']"
2,1750109206.176299,1750109209.124774,3,"['37b96c7d-1521-40e5-8f00-70ce11567dd2', 'a83a8577-1284-453c-938f-2c3fc9f177b7', 'd1730674-e1f6-4cae-aa09-ea1f396a8148']"
3,1750109211.5488462,1750109215.359279,3,"['37b96c7d-1521-40e5-8f00-70ce11567dd2', 'a83a8577-1284-453c-938f-2c3fc9f177b7', 'd1730674-e1f6-4cae-aa09-ea1f396a8148']"
4,1750109217.9868052,1750109221.2710388,3,"['37b96c7d-1521-40e5-8f00-70ce11567dd2', 'a83a8577-1284-453c-938f-2c3fc9f177b7', 'd1730674-e1f6-4cae-aa09-ea1f396a8148']"
5,1750109223.7225823,1750109227.125588,3,"['37b96c7d-1521-40e5-8f00-70ce11567dd2', 'a83a8577-1284-453c-938f-2c3fc9f177b7', 'd1730674-e1f6-4cae-aa09-ea1f396a8148']"
6,1750109229.5873036,1750109232.8254552,3,"['37b96c7d-1521-40e5-8f00-70ce11567dd2', 'a83a8577-1284-453c-938f-2c3fc9f177b7', 'd1730674-e1f6-4cae-aa09-ea1f396a8148']"
7,1750109235.2676933,1750109238.5451128,3,"['37b96c7d-1521-40e5-8f00-70ce11567dd2', 'a83a8577-1284-453c-938f-2c3fc9f177b7', 'd1730674-e1f6-4cae-aa09-ea1f396a8148']"
8,1750109240.919413,1750109244.8460526,3,"['37b96c7d-1521-40e5-8f00-70ce11567dd2', 'a83a8577-1284-453c-938f-2c3fc9f177b7', 'd1730674-e1f6-4cae-aa09-ea1f396a8148']"
9,1750109247.478139,1750109250.3057122,3,"['37b96c7d-1521-40e5-8f00-70ce11567dd2', 'a83a8577-1284-453c-938f-2c3fc9f177b7', 'd1730674-e1f6-4cae-aa09-ea1f396a8148']"
10,1750109253.4158843,1750109256.2433343,3,"['37b96c7d-1521-40e5-8f00-70ce11567dd2', 'a83a8577-1284-453c-938f-2c3fc9f177b7', 'd1730674-e1f6-4cae-aa09-ea1f396a8148']"
11,1750109258.7432885,1750109262.0373812,3,"['37b96c7d-1521-40e5-8f00-70ce11567dd2', 'a83a8577-1284-453c-938f-2c3fc9f177b7', 'd1730674-e1f6-4cae-aa09-ea1f396a8148']"
12,1750109264.5366611,1750109267.9011056,3,"['37b96c7d-1521-40e5-8f00-70ce11567dd2', 'a83a8577-1284-453c-938f-2c3fc9f177b7', 'd1730674-e1f6-4cae-aa09-ea1f396a8148']"
13,1750109270.572934,1750109273.5022,3,"['37b96c7d-1521-40e5-8f00-70ce11567dd2', 'a83a8577-1284-453c-938f-2c3fc9f177b7', 'd1730674-e1f6-4cae-aa09-ea1f396a8148']"
14,1750109276.1946876,1750109279.2630503,3,"['37b96c7d-1521-40e5-8f00-70ce11567dd2', 'a83a8577-1284-453c-938f-2c3fc9f177b7', 'd1730674-e1f6-4cae-aa09-ea1f396a8148']"
15,1750109281.8236396,1750109285.1543927,3,"['37b96c7d-1521-40e5-8f00-70ce11567dd2', 'a83a8577-1284-453c-938f-2c3fc9f177b7', 'd1730674-e1f6-4cae-aa09-ea1f396a8148']"
16,1750109287.5925684,1750109290.895873,3,"['37b96c7d-1521-40e5-8f00-70ce11567dd2', 'a83a8577-1284-453c-938f-2c3fc9f177b7', 'd1730674-e1f6-4cae-aa09-ea1f396a8148']"
17,1750109293.4524536,1750109296.6210003,3,"['37b96c7d-1521-40e5-8f00-70ce11567dd2', 'a83a8577-1284-453c-938f-2c3fc9f177b7', 'd1730674-e1f6-4cae-aa09-ea1f396a8148']"
18,1750109299.1657543,1750109302.3100247,3,"['37b96c7d-1521-40e5-8f00-70ce11567dd2', 'a83a8577-1284-453c-938f-2c3fc9f177b7', 'd1730674-e1f6-4cae-aa09-ea1f396a8148']"
19,1750109304.9228373,1750109308.0941782,3,"['37b96c7d-1521-40e5-8f00-70ce11567dd2', 'a83a8577-1284-453c-938f-2c3fc9f177b7', 'd1730674-e1f6-4cae-aa09-ea1f396a8148']"
20,1750109310.5543072,1750109313.9439087,3,"['37b96c7d-1521-40e5-8f00-70ce11567dd2', 'a83a8577-1284-453c-938f-2c3fc9f177b7', 'd1730674-e1f6-4cae-aa09-ea1f396a8148']"
21,1750109316.4749603,1750109319.5725543,3,"['37b96c7d-1521-40e5-8f00-70ce11567dd2', 'a83a8577-1284-453c-938f-2c3fc9f177b7', 'd1730674-e1f6-4cae-aa09-ea1f396a8148']"
22,1750109322.2499702,1750109325.2598515,3,"['37b96c7d-1521-40e5-8f00-70ce11567dd2', 'a83a8577-1284-453c-938f-2c3fc9f177b7', 'd1730674-e1f6-4cae-aa09-ea1f396a8148']"
23,1750109327.8902152,1750109331.7224908,3,"['37b96c7d-1521-40e5-8f00-70ce11567dd2', 'a83a8577-1284-453c-938f-2c3fc9f177b7', 'd1730674-e1f6-4cae-aa09-ea1f396a8148']"
24,1750109334.4982784,1750109337.2207341,3,"['37b96c7d-1521-40e5-8f00-70ce11567dd2', 'a83a8577-1284-453c-938f-2c3fc9f177b7', 'd1730674-e1f6-4cae-aa09-ea1f396a8148']"
25,1750109339.8448932,1750109342.7099965,3,"['37b96c7d-1521-40e5-8f00-70ce11567dd2', 'a83a8577-1284-453c-938f-2c3fc9f177b7', 'd1730674-e1f6-4cae-aa09-ea1f396a8148']"
25,1750109345.2819808,1750109345.2821217
